id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Starlit Sonata,Aura Strings,classical,dreamy,0.22,62,0.68,0.34,0.97
12,Sunset Reggae,Island Vibes,reggae,playful,0.65,96,0.76,0.69,0.45
13,Highland Roads,Maple Echo,folk,nostalgic,0.50,100,0.72,0.61,0.53
14,Neon Underground,Beat Circuit,electronic,energetic,0.88,140,0.82,0.91,0.12
15,Blue Midnight,Soul Harbor,blues,soulful,0.48,84,0.51,0.57,0.68
16,Wildflower Drive,Country Breeze,country,hopeful,0.58,104,0.74,0.63,0.28
17,Quiet Canvas,Velvet Haze,ambient,meditative,0.30,64,0.70,0.38,0.94
